Sample	Total Reads	All Mapped Reads	CDS Mapped Reads	rRNA Mapped Reads	tRNA Mapped Reads
29_1	12898178	11015636	3662206	10789	9117
28_1	12737790	11181533	3507361	14022	12326
29_2	13819792	11838176	3932907	12086	16085
28_2	13763996	10650105	2895537	20995	15726
36_2	13429086	10426253	2312509	25443	15290
36_1	14668664	13763579	4017904	14035	22902
46_1	15139148	14183139	4910757	8124	15643
46_2	15355620	13881360	4172673	10923	19988
47_1	19815452	17781824	5604414	19935	25147
47_2	20054754	15619983	4087964	25089	18468
49_1	18332688	17571073	6505631	29655	26794
49_2	20874022	20003208	7535805	17070	28570
